team_id,number_of_wins
1,1691
2,1743
3,1768
4,1735
5,1786
6,1822
7,1669
8,1732
9,1709
10,1709
11,820
12,1705
13,1682
14,1804
15,1789
16,1771
17,1713
18,1762
19,1794
20,1709
21,1731
22,1686
23,1736
24,1739
25,1761
26,1744
27,1052
28,1787
29,1721
30,1714
52,888
53,650
54,468
87,6
88,6
89,4
90,4
